912,624
896,624
896,640
880,640
880,656
864,656
864,672
880,672
880,688
880,704
880,720
864,720
848,720
832,720
832,704
816,704
816,688
800,688
784,688
768,688
752,688
736,688
720,688
704,688
688,688
688,704
672,704
656,704
640,704
640,688
640,672
624,672
608,672
592,672
576,672
576,656
560,656
560,640
544,640
544,624
528,624
512,624
512,608
496,608
480,608
464,608
464,592
464,576
448,576
432,576
432,560
416,560
416,576
416,592
400,592
384,592
368,592
368,576
368,560
352,560
352,544
352,528
336,528
336,512
320,512
304,512
304,496
288,496
272,496
272,480
256,480
256,464
256,448
256,432
272,432
272,416
256,416
256,400
256,384
256,368
256,352
256,336
256,320
256,304
256,288
256,272
240,272
240,256
240,240
240,224
240,208
256,208
256,192
256,176
240,176
240,160
240,144
256,144
272,160
272,144
272,128
272,112
288,112
288,96
304,96
320,96
336,96
336,80
352,80
368,80
384,80
400,80
400,64
400,48
416,48
432,48
448,48
448,32
464,32
464,16
480,16
496,16
512,16
528,16
544,16
560,16
560,32
560,48
560,64
576,64
576,80
592,80
608,80
624,80
640,80
656,80
656,64
672,64
688,64
704,64
704,80
720,80
736,80
752,80
768,80
784,80
784,64
800,64
816,64
832,64
848,64
864,64
880,64
880,80
896,80
896,96
912,96
912,112
912,128
912,144
928,144
928,160
928,176
944,176
944,192
944,208
944,224
960,224
960,240
960,256
960,272
960,228
944,288
944,304
928,304
928,320
912,320
912,336
928,336
928,352
944,352
944,368
944,384
944,400
944,416
944,432
944,448
960,448
960,464
960,480
976,480
976,496
976,512
976,528
976,544
976,560
960,560
960,576
944,576
944,592
928,592
928,608
912,608
960,288
